2447577.6  0.62
2447638.4  0.20
2447643.4  0.32
2447665.5  0.07
2447680.4  -0.04
2447943.4  0.54
2448020.5  0.14
2448137.3  0.10
2449444.6  0.29
2449491.4  0.06
2449883.3  0.02
2450980.4  -0.06
2451010.3  -0.05
2451038.3  0.03
2451065.2  0.07
2451180.6  0.52
2451199.6  0.39
2451205.6  0.43
2451302.4  -0.11
2451321.4  -0.02
2451327.4  -0.17
2451351.3  -0.12
2451384.3  -0.09
2451452.2  0.38
2451645.5  -0.01
2451683.4  -0.13
2451708.4  -0.14
2451740.3  -0.03
2451768.3  0.07
2451777.3  0.07
2451802.2  0.28
2451950.7  0.34
2451976.6  0.16
2452007.5  -0.06
2452012.5  -0.10
2452035.4  -0.09
2452124.3  0.09
2452125.3  0.07
2452153.2  0.30
2452188.2  0.51
2452211.2  0.66
2452309.6  0.52
2452381.5  -0.15
2452391.4  -0.10
2452418.4  -0.24
2452486.3  0.13
2452514.3  0.31
2452540.2  0.60
2452694.6  0.15
2452724.5  -0.14
2452740.5  -0.21
2452752.5  -0.15
2452774.4  -0.23
2452801.4  -0.17
2452832.3  -0.04
2452867.3  0.19
2453072.5  0.10
2453100.5  -0.05
2453127.4  -0.02
2453135.4  0.01
2453191.3  0.16
2453216.3  0.37
2453486.5  -0.12
2453539.4  0.16
2453566.3  0.21
2453600.3  0.50
2453788.7  -0.06
2453816.5  -0.19
2453830.5  -0.14
2453869.4  -0.02
2453875.5  -0.02
2453921.3  0.09
2453952.3  0.60
2453965.2  0.64
2454156.6  0.00
2454219.4  -0.03
2454251.4  0.18
2454284.3  -0.04
2454306.3  0.49
2454336.2  0.69
2454479.7  -0.01
2454577.5  0.09
2454605.3  0.09
2454641.3  0.40
2454659.3  0.55
2454692.3  0.62
2454700.3  0.68
2454895.6  -0.12
2454931.5  -0.07
2454969.4  0.13
2454985.3  0.21
2455019.3  0.51
2455024.3  0.57
2455049.3  0.56
2455056.2  0.58
2455270.6  -0.13
2455319.4  0.11
2455408.3  0.59
2455431.2  0.51
2455468.2  0.58
2455672.4  0.13
2455699.4  0.31
2455729.4  0.63
2455755.3  0.58
2455762.3  0.57
2455781.3  0.52
2455783.3  0.54
2455794.3  0.53
2455819.2  0.52
2456004.5  0.08
2456005.5  0.00
2456033.4  0.17
2456058.4  0.41
2456081.4  0.47
2456091.4  0.53
2456111.3  0.59
2456147.3  0.56
2456358.6  0.02
2456411.5  0.39
2456434.4  0.48
2456470.3  0.67
2456488.3  0.47
2456493.3  0.48
2456517.3  0.41
2456818.4  0.60
2456849.3  0.49
2456871.3  0.35
2456883.3  0.52
2457103.6  0.24
2457125.5  0.34
2457205.4  0.50
2457229.3  0.44
2457262.2  0.32
2457270.2  0.30
2457528.4  0.71
2457559.4  0.78
2457567.3  0.84
2457585.3  0.58
2457595.3  0.56
2457625.2  0.46
2457640.2  0.27
2457812.6  0.24
2457835.5  0.33
2457855.5  0.54
2457878.4  0.64
2457909.4  0.52
2457973.3  0.52
2457978.3  0.49
2458232.5  0.55
2458253.4  0.63
2458295.3  0.47
2458336.3  0.51
2458350.3  0.31
